med_income,puma_pop_per_sqm,media_norm_rent,num_houses,custom_id,choice_id,choice,hh_income,work_dist,income_disparity
87000.0,7.884328387909362e-05,0.3516423219980649,0.0,49581,02701,0.0,35000.0,51891.185812562384,52000.0
67000.0,0.0016356202416263363,0.5809146517363134,2.0,49581,02702,0.0,35000.0,48243.47927791552,32000.0
57200.0,0.00045664291658961714,-0.04741416587702774,6.0,49581,02703,0.0,35000.0,46209.57272382127,22200.0
81800.0,0.0001324151415455544,-0.03437143416328221,3.0,49581,02800,0.0,35000.0,41042.424702589655,46800.0
74600.0,0.00019814430472143985,-0.22153850234755657,0.0,49581,02901,0.0,35000.0,22834.32200055987,39600.0
95800.0,0.0002580569869988594,0.03066106036451687,0.0,49581,02902,0.0,35000.0,20615.916547182085,60800.0
92775.0,0.0009906247269546584,0.3516423219980649,2.0,49581,02903,0.0,35000.0,14538.090114301123,57775.0
52450.0,0.0008729873546743066,-0.36043972700692045,7.0,49581,02904,0.0,35000.0,7180.723750611821,17450.0
90600.0,0.0007548552343903393,0.10909861468791861,3.0,49581,02905,0.0,35000.0,15647.497149564391,55600.0
116000.0,0.0008386492799937454,1.2687316409510592,4.0,49581,02906,0.0,35000.0,2315.5278411250256,81000.0
68000.0,0.001068704400287568,0.12236999225981629,6.0,49581,02907,0.0,35000.0,12944.55973968072,33000.0
62000.0,0.0019070137449768976,0.01356210606143633,7.0,49581,02908,0.0,35000.0,19646.71021815153,27000.0
75360.0,0.00018986233468740735,-0.47914432414833663,2.0,49581,03001,0.0,35000.0,40046.17745075036,40360.0
77500.0,0.0009400439363215402,0.5809146517363134,3.0,49581,03002,0.0,35000.0,27485.09012169533,42500.0
65900.0,0.0014233389791125381,-0.22153850234755657,1.0,49581,03003,0.0,35000.0,24304.458959540312,30900.0
56000.0,0.0011867888726675299,-0.19968999268101978,5.0,49581,03004,0.0,35000.0,35668.880727244206,21000.0
51550.0,0.0020291076973749066,-0.28183171089313747,7.0,49581,03005,1.0,35000.0,34862.41577818417,16550.0
46150.0,0.0015809726127184239,-0.3926263413414087,3.0,49581,03006,0.0,35000.0,27041.754377309844,11150.0
52600.0,8.582552426465014e-05,-0.5772255278477113,3.0,49581,03100,0.0,35000.0,62424.79507518358,17600.0
80000.0,0.0007420179716527487,0.3516423219980649,3.0,49581,03201,0.0,35000.0,31712.053291108343,45000.0
68700.0,0.0011913176329991608,-0.08490249959008828,2.0,49581,03202,0.0,35000.0,20626.538949590915,33700.0
51650.0,0.0018476039199896268,-0.1242883418506981,5.0,49581,03203,0.0,35000.0,32071.61919897283,16650.0
45800.0,0.0015677746714924852,-0.38202913316433057,3.0,49581,03204,0.0,35000.0,31103.017725208596,10800.0
53000.0,0.0003370976987594283,-0.42701719080214606,4.0,49581,03205,0.0,35000.0,45020.68772466194,18000.0
65200.0,0.0007667032887202948,-0.3343542635794294,3.0,49581,03206,0.0,35000.0,53690.65681914723,30200.0
46600.0,0.0018045658980871333,-0.6113014629025791,3.0,49581,03207,0.0,35000.0,39566.04256700054,11600.0
27955.0,0.0019117047314624088,-0.6995507515643041,12.0,49581,03208,0.0,35000.0,24556.697400301164,7045.0
35620.0,0.002416637954502349,-0.5772255278477113,8.0,49581,03209,0.0,35000.0,22572.70891094072,620.0
29300.0,0.0015788896385296796,-0.689816956694179,5.0,49581,03210,0.0,35000.0,30161.915030754597,5700.0
28800.0,0.001600242922352988,-0.4966652980334548,24.0,49581,03211,0.0,35000.0,35158.41939426686,6200.0
29250.0,0.0016394965463653848,-0.8726193448022851,17.0,49581,03212,0.0,35000.0,33384.37955312151,5750.0
50000.0,0.001961332635544293,-0.8151091356400055,4.0,49581,03213,0.0,35000.0,34582.3245834935,15000.0
59280.0,0.00010880448364013201,-0.2444657353213814,2.0,49581,03300,0.0,35000.0,67026.74523156475,24280.0
