custom_id,choice_id,choice,rent,norm_rent,puma,built_since_jan2010,bedrooms,hh_income,nPersons,income_norm_rent,income_bedrooms,nPerson_bedrooms
6,5,0,950.0,-0.08490249959008828,02703,0,3.0,15000.0,1,-1273.5374938513241,45000.0,3.0
6,6,0,950.0,0.4742951026727934,02703,0,1.0,15000.0,1,7114.426540091901,15000.0,1.0
6,7,0,690.0,-0.2039269464419741,02703,0,1.0,15000.0,1,-3058.9041966296113,15000.0,1.0
6,8,0,950.0,-0.08490249959008828,02703,0,3.0,15000.0,1,-1273.5374938513241,45000.0,3.0
6,9,0,920.0,0.39603871239032024,02703,0,1.0,15000.0,1,5940.580685854804,15000.0,1.0
7,1,1,1700.0,1.3920665851827807,03002,0,3.0,111000.0,3,154519.39095528866,333000.0,9.0
7,2,0,680.0,-0.6113014629025791,03002,0,2.0,111000.0,3,-67854.46238218629,222000.0,6.0
7,3,0,720.0,-0.1256705561595009,03002,0,1.0,111000.0,3,-13949.4317337046,111000.0,3.0
7,4,0,720.0,-0.1256705561595009,03002,0,1.0,111000.0,3,-13949.4317337046,111000.0,3.0
7,5,0,680.0,-0.6113014629025791,03002,0,2.0,111000.0,3,-67854.46238218629,222000.0,6.0
7,6,0,680.0,-0.6113014629025791,03002,0,2.0,111000.0,3,-67854.46238218629,222000.0,6.0
7,7,0,1200.0,0.5809146517363134,03002,0,2.0,111000.0,3,64481.52634273079,222000.0,6.0
7,8,0,720.0,-0.1256705561595009,03002,0,1.0,111000.0,3,-13949.4317337046,111000.0,3.0
7,9,0,680.0,-0.6113014629025791,03002,0,2.0,111000.0,3,-67854.46238218629,222000.0,6.0
8,1,1,500.0,-0.9710839504538097,03210,0,3.0,24400.0,3,-23694.448391072958,73200.0,9.0
8,2,0,650.0,-0.3082688001519383,03210,0,1.0,24400.0,3,-7521.758723707295,24400.0,3.0
8,3,0,450.0,-1.1386278213005507,03210,0,2.0,24400.0,3,-27782.51883973344,48800.0,6.0
8,4,0,350.0,-1.09083270297667,03210,0,1.0,24400.0,3,-26616.317952630747,24400.0,3.0
8,5,0,450.0,-1.1386278213005507,03210,0,2.0,24400.0,3,-27782.51883973344,48800.0,6.0
8,6,0,850.0,-0.28183171089313747,03210,0,3.0,24400.0,3,-6876.693745792554,73200.0,9.0
8,7,0,650.0,-0.3082688001519383,03210,0,1.0,24400.0,3,-7521.758723707295,24400.0,3.0
8,8,0,650.0,-0.3082688001519383,03210,0,1.0,24400.0,3,-7521.758723707295,24400.0,3.0
8,9,0,450.0,-1.1386278213005507,03210,0,2.0,24400.0,3,-27782.51883973344,48800.0,6.0
9,1,1,800.0,-0.38029631654466206,03100,0,3.0,41700.0,2,-15858.356399912407,125100.0,6.0
9,2,0,300.0,-1.2212600201141253,03100,0,1.0,41700.0,2,-50926.54283875902,41700.0,2.0
9,3,0,550.0,-0.9093554915623022,03100,0,2.0,41700.0,2,-37920.123998148,83400.0,4.0
